fund_symbol,rating,return_rating,risk_rating,investment_type,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_cash_ratio,asset_stocks,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,median_market_cap,net_asset_value,fund_return_ytd,category_return_ytd,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
JSERX,5,5,2,Growth,0.8,1.1,3.87,96.13,25.17,2.85,1.45,13.41,4584.52,6910000000,-2.67,-11.5,3.07,-6.45,5.5,-0.55,9.63,5,12.18,8.48,28.66,23.75,-8.83,-12.72,15.82,12.28,22.4,20.78,-1.36,-5.38,7.55,3.79,36.44,37.39,18.34,15.46,3.11,-4.07,26.65,25.61,10,3,3.43,-0.02,7.38,0.03,10.52,0.07
JSEZX,5,5,2,Growth,1.49,1.1,3.87,96.13,25.17,2.85,1.45,13.41,4584.52,6910000000,-3.22,-11.5,2.37,-6.45,4.77,-0.55,8.86,5,11.36,8.48,27.76,23.75,-9.45,-12.72,14.98,12.28,21.5,20.78,-2.11,-5.38,6.73,3.79,35.41,37.39,17.49,15.46,2.32,-4.07,25.7,25.61,9,2,2.79,-0.02,6.71,0.03,9.78,0.07
JSMGX,4,4,2,Growth,0.76,1.21,2.31,95.81,26.06,4.09,2.22,15.83,5791.42,10490000000,1.97,10.02,8.39,18.21,8.66,11.01,11.81,12.18,13.43,12.31,28.45,27.68,-5.13,-5.76,27.07,21.5,10.59,11.2,1.35,-2.41,9.58,2.44,36.52,40.91,16.63,13.15,2.77,-3.55,31.67,26.98,9,1,6,0.08,8.88,0.09,11.36,0.1
JSVAX,4,4,3,Blend,0.81,1.05,1.04,95.01,21.97,2.54,1.79,16.71,19870.13,3090000000,7.97,-6.28,17.28,-0.89,14.82,3.18,11,6.39,9.57,9.18,43.03,26.21,-4.1,-11.15,5.28,15.93,8.05,14.14,-13.16,-4.75,17.32,7.8,38.51,34.1,23.83,16.15,-15.86,-3.81,11.16,22.52,13,6,11.58,0.01,8.64,0.05,8.3,0.08
JVMAX,5,4,3,Value,1.11,1.09,2.35,97.65,17.94,1.82,0.98,8.92,13441.47,11860000000,-12.28,-15.13,-7.04,-10.02,0.11,-0.95,4.83,3.98,10.3,7.96,29.81,25.18,-14.9,-12.86,15.28,13.22,15.01,18.06,1.8,-5.41,12.95,9.31,39.14,35.14,18.08,16.6,0.32,-3.96,22.96,21.92,17,5,-1.34,-0.02,3.21,0.03,8.66,0.07
JVMIX,5,5,3,Value,0.86,1.09,2.35,97.65,17.94,1.82,0.98,8.92,13441.47,11860000000,-12.08,-15.13,-6.84,-10.02,0.36,-0.95,5.09,3.98,10.59,7.96,30.14,25.18,-14.74,-12.86,15.64,13.22,15.25,18.06,2.06,-5.41,13.29,9.31,39.49,35.14,18.57,16.6,0.62,-3.96,23.24,21.92,17,5,-1.11,-0.02,3.43,0.03,8.92,0.07
KAUAX,4,4,3,Growth,1.98,1.16,14.34,85.65,32.36,4.93,5.45,18.18,14514.29,7480000000,13.71,14.82,21.71,22.59,17.48,13.64,15.94,13.1,13.53,12.76,32.94,32.52,3.63,-6.65,27.74,23.91,3.07,6.03,5.97,-0.95,9.15,7,40.34,34.93,17.31,14.07,-13.62,-3.96,18.54,24.61,15,3,16.61,0.11,14.6,0.11,12.17,0.11
KAUBX,4,4,3,Growth,2.53,1.16,14.34,85.65,32.36,4.93,5.45,18.18,14514.29,7480000000,13.17,14.82,21.1,22.59,16.95,13.64,15.38,13.1,12.97,12.76,32.43,32.52,3.08,-6.65,27.26,23.91,2.42,6.03,5.29,-0.95,8.59,7,39.77,34.93,16.83,14.07,-14.18,-3.96,17.98,24.61,15,3,15.98,0.11,14.01,0.11,11.61,0.11
KAUFX,4,4,3,Growth,1.98,1.16,14.34,85.65,32.36,4.93,5.45,18.18,14514.29,7480000000,13.67,14.82,21.64,22.59,17.5,13.64,15.94,13.1,13.54,12.76,33.08,32.52,3.63,-6.65,27.68,23.91,3.07,6.03,5.96,-0.95,9.14,7,40.54,34.93,17.3,14.07,-13.78,-3.96,18.75,24.61,28,5,16.49,0.11,14.5,0.11,12.1,0.11
KMKAX,2,1,4,Growth,1.76,1.16,39.68,52.03,21.99,4.1,4.49,17.6,6800.11,70350000,-10.69,14.82,-2.99,22.59,4.56,13.64,10.03,13.1,9.19,12.76,22.42,32.52,-11.1,-6.65,46.91,23.91,20.15,6.03,-9.34,-0.95,-5.74,7,46.36,34.93,17.26,14.07,-8.08,-3.96,11.11,24.61,8,5,3.36,0.11,10.41,0.11,9.19,0.11
KMKCX,1,1,3,Growth,2.26,1.16,39.68,52.03,21.99,4.1,4.49,17.6,6800.11,70350000,-11.08,14.82,-3.46,22.59,4.05,13.64,9.47,13.1,8.64,12.76,21.79,32.52,-11.48,-6.65,46.12,23.91,19.52,6.03,-9.79,-0.95,-6.24,7,45.61,34.93,16.7,14.07,-8.51,-3.96,10.54,24.61,7,5,2.79,0.11,9.76,0.11,8.6,0.11
KMKNX,2,2,4,Growth,1.51,1.16,39.68,52.03,21.99,4.1,4.49,17.6,6800.11,70350000,-10.52,14.82,-2.76,22.59,4.84,13.64,10.31,13.1,9.47,12.76,22.76,32.52,-10.86,-6.65,47.28,23.91,20.45,6.03,-9.11,-0.95,-5.55,7,46.74,34.93,17.52,14.07,-7.85,-3.96,11.31,24.61,8,5,3.67,0.11,10.75,0.11,9.49,0.11
KMKYX,2,2,4,Growth,1.31,1.16,39.68,52.03,21.99,4.1,4.49,17.6,6800.11,70350000,-10.37,14.82,-2.57,22.59,5.04,13.64,10.53,13.1,9.7,12.76,22.97,32.52,-10.7,-6.65,47.65,23.91,20.73,6.03,-8.93,-0.95,-5.36,7,47.15,34.93,17.83,14.07,-7.71,-3.96,11.54,24.61,7,4,3.89,0.11,10.99,0.11,9.72,0.11
KMVAX,1,2,4,Blend,1.45,1.05,0.38,99.62,20.44,2.35,0.99,9.12,11670.48,54190000,-15.04,-6.28,-10.62,-0.89,-3.05,3.18,1.07,6.39,7.33,9.18,27.02,26.21,-19.62,-11.15,16.09,15.93,10.83,14.14,-4.55,-4.75,1.95,7.8,33.41,34.1,26.38,16.15,-2.62,-3.81,35.91,22.52,15,6,-3.72,0.01,-0.08,0.05,5.33,0.08
KNPAX,1,1,5,Growth,1.89,1.16,21.16,75.65,22.54,2.84,2.11,14.56,7036.28,488220000,-23.61,14.82,-13.93,22.59,0.1,13.64,6.42,13.1,7.47,12.76,30.15,32.52,-5.79,-6.65,28.07,23.91,20.18,6.03,-8.57,-0.95,-1.04,7,43.7,34.93,21.49,14.07,-14.49,-3.96,17.11,24.61,12,6,-1.18,0.11,4.29,0.11,5.73,0.11
KNPCX,1,1,5,Growth,2.39,1.16,21.16,75.65,22.54,2.84,2.11,14.56,7036.28,488220000,-23.92,14.82,-14.35,22.59,-0.39,13.64,5.89,13.1,6.94,12.76,29.49,32.52,-6.27,-6.65,27.48,23.91,19.54,6.03,-9,-0.95,-1.54,7,43.01,34.93,20.85,14.07,-14.9,-3.96,16.45,24.61,12,5,-1.57,0.11,3.86,0.11,5.28,0.11
KNPYX,1,1,5,Growth,1.44,1.16,21.16,75.65,22.54,2.84,2.11,14.56,7036.28,488220000,-23.3,14.82,-13.52,22.59,0.56,13.64,6.91,13.1,7.96,12.76,30.75,32.52,-5.37,-6.65,28.66,23.91,20.73,6.03,-8.16,-0.95,-0.61,7,44.4,34.93,21.99,14.07,-14.13,-3.96,17.62,24.61,9,5,-0.81,0.11,4.69,0.11,6.14,0.11
KSMIX,1,2,5,Blend,1.15,1.05,2.44,97.56,13.82,1.41,1.08,7.7,4117.74,37080000,-20.17,-6.28,-14.06,-0.89,-3.34,3.18,3.38,6.39,8.1,9.18,31.94,26.21,-17.65,-11.15,18.13,15.93,20.92,14.14,-10.83,-4.75,0.62,7.8,38.12,34.1,29.96,16.15,-4.07,-3.81,22.65,22.52,8,4,-3.63,0.01,1.62,0.05,5.65,0.08
KSMVX,1,2,5,Blend,1.4,1.05,2.44,97.56,13.82,1.41,1.08,7.7,4117.74,37080000,-20.37,-6.28,-14.29,-0.89,-3.6,3.18,3.11,6.39,7.82,9.18,31.65,26.21,-17.83,-11.15,17.76,15.93,20.64,14.14,-11.01,-4.75,0.31,7.8,37.8,34.1,29.69,16.15,-4.39,-3.81,22.4,22.52,8,4,-3.82,0.01,1.42,0.05,5.44,0.08
LACAX,2,2,3,Growth,1.11,1.16,1.7,98.3,30.87,6.44,3.16,20.83,7256.94,4310000000,10.82,14.82,18.87,22.59,10.84,13.64,12.26,13.1,11.29,12.76,26.21,32.52,-5.22,-6.65,24.91,23.91,10.06,6.03,-1.87,-0.95,0.55,7,30.53,34.93,17.62,14.07,-4.91,-3.96,25.61,24.61,14,5,8.6,0.11,9.93,0.11,9.67,0.11
LAIAX,2,2,3,Growth,1.24,1.36,2.62,97.39,27.23,3.46,2.55,18.11,4056.81,2210000000,-2.35,8.18,4.99,16.21,3.41,6.11,6.14,9.19,5.49,8.23,29.56,27.78,-16.13,-18.34,31.91,36.19,-2.51,-2.98,-1.59,7.05,-4.58,-5.4,22,26.61,21.21,22.2,-14.37,-14.72,22.23,23.04,11,8,1.55,0.04,4.47,0.08,5.01,0.08
LAICX,2,2,3,Growth,1.99,1.36,2.62,97.39,27.23,3.46,2.55,18.11,4056.81,2210000000,-2.97,8.18,4.22,16.21,2.64,6.11,5.34,9.19,4.7,8.23,28.61,27.78,-16.76,-18.34,30.93,36.19,-3.26,-2.98,-2.33,7.05,-5.27,-5.4,21.07,26.61,20.31,22.2,-15.02,-14.72,21.34,23.04,11,8,0.9,0.04,3.76,0.08,4.2,0.08
LFFCX,3,3,4,Growth,2.03,1.1,1.61,98.39,32.09,4.42,3.14,21.6,9029.17,442120000,0.69,6.08,8.02,12.71,6.1,5.73,8.85,7.86,6.13,6.47,32.31,27.83,-13.11,-14.08,34.32,30.87,0.15,-2.14,-2.05,0.95,-7.8,-3.92,13.52,18.58,21.1,17.7,-10.81,-12.3,20.45,14.78,12,7,4.03,-0.04,7.24,0.07,6.25,0.06
LGOAX,1,4,5,Blend,1.49,1.05,0.32,99.15,11.98,1.71,0.91,7.16,18504.82,1660000000,1.63,-6.28,12.34,-0.89,8.86,3.18,8.02,6.39,10.99,9.18,33.94,26.21,-9.8,-11.15,25.95,15.93,-0.26,14.14,0.48,-4.75,10.97,7.8,68.03,34.1,40.68,16.15,-34.4,-3.81,17.44,22.52,7,3,3.95,0.01,3.64,0.05,5.98,0.08
LIACX,2,2,3,Growth,1.86,1.16,1.7,98.3,30.87,6.44,3.16,20.83,7256.94,4310000000,10.2,14.82,18.01,22.59,10.01,13.64,11.41,13.1,10.47,12.76,25.12,32.52,-5.86,-6.65,23.88,23.91,9.29,6.03,-2.57,-0.95,-0.16,7,29.58,34.93,16.77,14.07,-5.63,-3.96,24.63,24.61,13,6,7.82,0.11,9.16,0.11,8.92,0.11
LLINX,1,2,5,Value,1.15,0.98,3.32,94.54,13.29,1.03,0.39,6.67,7767.54,969800000,-22.06,-8.69,-17.83,-4.19,-4.56,-1.14,2.63,3.23,1.98,3.65,20,21.59,-7.08,-14.59,24.23,25.12,12.2,0.79,-7.91,-1.59,-14.76,-4.98,28.13,19.44,21.23,18.29,-20.29,-13.97,13.69,10.24,15,6,-5.18,-0.03,1.19,0.02,1.19,0.03
LMNOX,1,4,5,Blend,1.22,1.05,0.32,99.15,11.98,1.71,0.91,7.16,18504.82,1660000000,1.81,-6.28,12.61,-0.89,9.13,3.18,8.3,6.39,11.3,9.18,34.3,26.21,-9.53,-11.15,26.21,15.93,0.1,14.14,0.74,-4.75,11.23,7.8,68.45,34.1,41.15,16.15,-34.15,-3.81,17.75,22.52,14,5,4.1,0.01,3.79,0.05,6.16,0.08
LMOFX,1,4,5,Blend,1.55,1.05,0.32,99.15,11.98,1.71,0.91,7.16,18504.82,1660000000,1.55,-6.28,12.23,-0.89,8.78,3.18,7.97,6.39,10.93,9.18,33.84,26.21,-9.82,-11.15,25.91,15.93,-0.25,14.14,0.41,-4.75,10.9,7.8,67.97,34.1,40.66,16.15,-34.47,-3.81,17.24,22.52,10,5,3.91,0.01,3.62,0.05,5.94,0.08
LMOIX,4,4,4,Growth,0.78,1.21,2.31,97.48,32.69,5.18,1.68,16.02,4465.9,4680000000,18.8,10.02,27.39,18.21,17.3,11.01,16.03,12.18,14.77,12.31,25.78,27.68,4.58,-5.76,25.47,21.5,6.25,11.2,-4.38,-2.41,3.78,2.44,45.73,40.91,19.47,13.15,1.07,-3.55,25.91,26.98,10,1,13.18,0.08,11.99,0.09,11.79,0.1
LMOPX,1,4,5,Blend,2.23,1.05,0.32,99.15,11.98,1.71,0.91,7.16,18504.82,1660000000,0.97,-6.28,11.48,-0.89,8.04,3.18,7.2,6.39,10.14,9.18,32.94,26.21,-10.47,-11.15,25,15.93,-1.04,14.14,-0.22,-4.75,9.99,7.8,66.82,34.1,39.61,16.15,-34.94,-3.81,16.61,22.52,12,8,3.51,0.01,3.21,0.05,5.49,0.08
LMORX,1,4,5,Blend,1.77,1.05,0.32,99.15,11.98,1.71,0.91,7.16,18504.82,1660000000,1.39,-6.28,12,-0.89,8.55,3.18,7.7,6.39,10.59,9.18,33.57,26.21,-10.05,-11.15,25.55,15.93,-0.57,14.14,0.16,-4.75,10.42,7.8,67.18,34.1,40.11,16.15,-34.71,-3.81,17.04,22.52,8,5,3.78,0.01,3.48,0.05,5.75,0.08
LMPMX,4,4,4,Growth,0.94,1.21,2.31,97.48,32.69,5.18,1.68,16.02,4465.9,4680000000,18.66,10.02,27.19,18.21,17.12,11.01,15.81,12.18,14.47,12.31,25.57,27.68,4.45,-5.76,25.17,21.5,5.95,11.2,-4.55,-2.41,3.35,2.44,45.04,40.91,19.15,13.15,0.81,-3.55,25.62,26.98,10,2,13.03,0.08,11.81,0.09,11.55,0.1
LMPOX,4,4,4,Growth,1.5,1.21,2.31,97.48,32.69,5.18,1.68,16.02,4465.9,4680000000,18.11,10.02,26.5,18.21,16.48,11.01,15.22,12.18,13.97,12.31,24.9,27.68,3.85,-5.76,24.59,21.5,5.51,11.2,-5.05,-2.41,3.04,2.44,44.7,40.91,18.68,13.15,0.35,-3.55,25.04,26.98,11,2,12.5,0.08,11.34,0.09,11.14,0.1
LMPSX,4,4,4,Growth,1.21,1.21,2.31,97.48,32.69,5.18,1.68,16.02,4465.9,4680000000,18.4,10.02,26.89,18.21,16.83,11.01,15.56,12.18,14.25,12.31,25.26,27.68,4.17,-5.76,24.96,21.5,5.84,11.2,-4.81,-2.41,3.27,2.44,45.07,40.91,18.81,13.15,0.58,-3.55,25.29,26.98,10,2,12.79,0.08,11.62,0.09,11.38,0.1
LMREX,3,3,4,Growth,1.45,1.05,1.59,98.41,22.51,3.26,1.54,14.39,13778.58,1740000000,-2.52,-6.28,3.96,-0.89,5.03,3.18,5.96,6.39,9.72,9.18,32.43,26.21,-13.15,-11.15,12.4,15.93,8.16,14.14,1.98,-4.75,7.53,7.8,36.85,34.1,17.8,16.15,-3.95,-3.81,21.85,22.52,9,2,3.07,0.01,4.18,0.05,7.83,0.08
LOMMX,1,1,5,Blend,1.12,0.73,1.24,72.16,14.35,2.11,1.02,11.43,10045.13,254950000,-4.65,-2.67,-4.98,1.83,-4.56,3.98,0.72,6.21,3.47,7.46,2.07,21.35,-13.7,-7.93,17.11,15.8,7.58,7.93,-3.07,-2.77,5.29,5.71,20.99,21.31,16.79,13.42,-16.94,-3.8,15.99,13.49,67,23,-3.95,0.02,-0.29,0.04,1.88,0.05
LPEFX,3,3,4,Blend,2.31,1.28,0.92,76.54,15.82,1.59,1.18,8.63,11599.09,88610000,-10.76,0.85,-3.2,8.06,3.26,4.26,7.6,8.29,8.88,7.61,39.99,26.49,-12.6,-14.25,27.04,25.44,7.26,9.32,-0.56,-1.23,0.44,-0.42,41.26,30.99,29.7,18.46,-18.24,-11.76,25.85,20.56,8,4,1.33,0.03,5.32,0.07,7.57,0.07
LPEIX,4,3,4,Blend,1.98,1.28,0.92,76.54,15.82,1.59,1.18,8.63,11599.09,88610000,-10.55,0.85,-2.93,8.06,3.55,4.26,7.9,8.29,9.19,7.61,40.31,26.49,-12.4,-14.25,27.49,25.44,7.42,9.32,-0.2,-1.23,0.91,-0.42,41.78,30.99,29.72,18.46,-17.95,-11.76,26.18,20.56,8,4,1.55,0.03,5.57,0.07,7.85,0.07
LPERX,3,3,4,Blend,2.4,1.28,0.92,76.54,15.82,1.59,1.18,8.63,11599.09,88610000,-10.88,0.85,-3.37,8.06,3.09,4.26,7.39,8.29,8.76,7.61,39.76,26.49,-12.79,-14.25,26.89,25.44,6.84,9.32,-0.65,-1.23,0.62,-0.42,41.96,30.99,29.21,18.46,-18.42,-11.76,24.93,20.56,8,4,1.19,0.03,5.16,0.07,7.47,0.07
LSHAX,1,1,5,Growth,1.67,1.16,1.17,98.83,20.96,2.53,2.36,12.94,5082.58,12940000,-25.14,14.82,-12.83,22.59,-2.78,13.64,1.78,13.1,4.97,12.76,31.3,32.52,-8.3,-6.65,15.66,23.91,11.85,6.03,-11.64,-0.95,-4.91,7,42.92,34.93,26.19,14.07,-13.43,-3.96,16.06,24.61,7,5,-2.91,0.11,0.41,0.11,3.17,0.11
LSHCX,1,1,5,Growth,2.42,1.16,1.17,98.83,20.96,2.53,2.36,12.94,5082.58,12940000,-25.54,14.82,-13.48,22.59,-3.48,13.64,1.04,13.1,4.27,12.76,30.34,32.52,-9,-6.65,14.74,23.91,10.9,6.03,-12.22,-0.95,-5.66,7,42.22,34.93,25.44,14.07,-13.78,-3.96,15.52,24.61,7,5,-3.37,0.11,-0.09,0.11,2.66,0.11
LSHUX,1,1,5,Growth,1.42,1.16,1.17,98.83,20.96,2.53,2.36,12.94,5082.58,12940000,-24.92,14.82,-12.49,22.59,-2.49,13.64,2.06,13.1,5.25,12.76,31.74,32.52,-8.11,-6.65,15.9,23.91,12.08,6.03,-11.37,-0.95,-4.65,7,43.07,34.93,26.54,14.07,-13.17,-3.96,16.49,24.61,7,5,-2.71,0.11,0.6,0.11,3.37,0.11
LSIRX,4,4,4,Growth,0.75,1.05,1.59,98.41,22.51,3.26,1.54,14.39,13778.58,1740000000,-1.96,-6.28,4.7,-0.89,5.77,3.18,6.7,6.39,10.51,9.18,33.38,26.21,-12.56,-11.15,13.21,15.93,8.9,14.14,2.72,-4.75,8.29,7.8,37.81,34.1,18.69,16.15,-3.22,-3.81,22.71,22.52,9,2,3.73,0.01,4.82,0.05,8.5,0.08
LTFAX,2,2,4,Growth,1.17,1.16,3.34,96.66,24.78,5.14,2.05,17.17,5074.31,217830000,0.38,14.82,10.94,22.59,8.44,13.64,8.27,13.1,10.46,12.76,28.53,32.52,-12.71,-6.65,26.42,23.91,11.54,6.03,-0.73,-0.95,2.17,7,33.77,34.93,16.87,14.07,-16.65,-3.96,22.49,24.61,14,5,5.48,0.11,5.94,0.11,8.12,0.11
LTFCX,2,2,4,Growth,1.92,1.16,3.34,96.66,24.78,5.14,2.05,17.17,5074.31,217830000,-0.01,14.82,10.15,22.59,7.6,13.64,7.46,13.1,9.63,12.76,27.57,32.52,-13.32,-6.65,25.4,23.91,10.67,6.03,-1.41,-0.95,1.42,7,32.85,34.93,15.93,14.07,-17.27,-3.96,21.55,24.61,14,5,4.79,0.11,5.25,0.11,7.42,0.11
LZCOX,3,3,3,Blend,1.25,1.1,2.65,97.35,22.98,2.23,1.46,10.8,5113.82,91890000,-12.31,-11.5,-9.82,-6.45,0.49,-0.55,5.06,5,8,8.48,29.51,23.75,-13.49,-12.72,13.82,12.28,15.92,20.78,-2.47,-5.38,11.01,3.79,35.37,37.39,15.06,15.46,-10.09,-4.07,23.36,25.61,15,7,-0.94,-0.02,3.28,0.03,6.23,0.07
LZSCX,3,3,3,Blend,0.92,1.1,2.65,97.35,22.98,2.23,1.46,10.8,5113.82,91890000,-12.09,-11.5,-9.46,-6.45,0.8,-0.55,5.38,5,8.34,8.48,30,23.75,-13.27,-12.72,14.2,12.28,16.2,20.78,-2.14,-5.38,11.39,3.79,35.81,37.39,15.45,15.46,-9.83,-4.07,23.67,25.61,21,7,-0.67,-0.02,3.54,0.03,6.5,0.07
MAMQX,4,4,4,Blend,0.13,1.05,2.18,97.82,18.77,1.98,1.1,10.13,4872.06,34060000,-6.67,-6.28,-1.24,-0.89,2.73,3.18,7.22,6.39,10.21,9.18,26.08,26.21,-11.3,-11.15,15.99,15.93,20.55,14.14,-2.31,-4.75,9.66,7.8,33.35,34.1,17.89,16.15,-1.93,-3.81,26.29,22.52,13,6,0.98,0.01,5.13,0.05,8.41,0.08
MARFX,4,4,3,Value,0.86,1.09,5.51,94.49,14.77,1.13,0.64,6.76,13635.46,296680000,-12.19,-15.13,-6.41,-10.02,1.94,-0.95,5.62,3.98,8.6,7.96,29.54,25.18,-9.51,-12.86,8.82,13.22,22.77,18.06,-6.69,-5.41,6.68,9.31,33.72,35.14,13.62,16.6,-0.26,-3.96,26.07,21.92,19,5,0.32,-0.02,3.9,0.03,7.02,0.07
MBACX,2,2,3,Value,2.11,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-4.07,0.07,-1.51,3.88,1.29,4.9,3.19,6.23,5.85,7.13,15.27,19.23,-8.58,-5.76,8.59,13.21,8.88,7.34,-3.81,-1.93,9.45,6.21,20.37,16.48,10.86,11.72,1.54,-0.11,12.21,11.83,14,3,-0.26,0.03,1.8,0.05,4.96,0.06
MBAIX,3,3,3,Value,0.88,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-3.04,0.07,-0.27,3.88,2.53,4.9,4.43,6.23,7.11,7.13,16.68,19.23,-7.51,-5.76,9.87,13.21,10.13,7.34,-2.71,-1.93,10.72,6.21,21.8,16.48,12.24,11.72,2.73,-0.11,13.51,11.83,25,5,0.83,0.03,2.9,0.05,6.14,0.06
MBCRX,3,3,3,Value,1.23,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-3.34,0.07,-0.6,3.88,2.17,4.9,4.1,6.23,6.75,7.13,16.28,19.23,-7.82,-5.76,9.65,13.21,9.74,7.34,-3.03,-1.93,10.32,6.21,21.35,16.48,11.83,11.72,2.37,-0.11,13.13,11.83,12,3,0.52,0.03,2.6,0.05,5.8,0.06
MBDRX,2,2,3,Value,1.48,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-3.54,0.07,-0.88,3.88,1.92,4.9,3.81,6.23,6.47,7.13,15.97,19.23,-8.05,-5.76,9.2,13.21,9.44,7.34,-3.28,-1.93,10.08,6.21,21.06,16.48,11.56,11.72,2.12,-0.11,12.86,11.83,10,3,0.29,0.03,2.35,0.05,5.54,0.06
MBINX,3,3,3,Value,1.36,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-3.46,0.07,-0.75,3.88,2.06,4.9,3.98,6.23,6.65,7.13,16.1,19.23,-7.86,-5.76,9.41,13.21,9.68,7.34,-3.07,-1.93,10.25,6.21,21.27,16.48,11.71,11.72,2.28,-0.11,13.07,11.83,9,2,0.42,0.03,2.5,0.05,5.71,0.06
MBNAX,3,3,3,Value,1.13,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-3.24,0.07,-0.53,3.88,2.27,4.9,4.17,6.23,6.84,7.13,16.35,19.23,-7.73,-5.76,9.61,13.21,9.85,7.34,-2.93,-1.93,10.44,6.21,21.51,16.48,11.94,11.72,2.48,-0.11,13.24,11.83,12,3,0.61,0.03,2.67,0.05,5.9,0.06
MBNBX,2,2,3,Value,2.11,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-4.06,0.07,-1.51,3.88,1.28,4.9,3.19,6.23,5.85,7.13,15.26,19.23,-8.61,-5.76,8.58,13.21,8.87,7.34,-3.81,-1.93,9.48,6.21,20.36,16.48,10.85,11.72,1.54,-0.11,12.2,11.83,12,3,-0.27,0.03,1.8,0.05,4.96,0.06
MBNRX,3,3,3,Value,0.98,0.82,1.29,50.11,17.78,1.91,0.97,8.43,24152.59,497540000,-3.16,0.07,-0.38,3.88,2.44,4.9,4.33,6.23,7,7.13,16.58,19.23,-7.58,-5.76,9.76,13.21,10.04,7.34,-2.81,-1.93,10.65,6.21,21.68,16.48,12.06,11.72,2.63,-0.11,13.45,11.83,12,3,0.75,0.03,2.81,0.05,6.04,0.06
MCBVX,4,3,2,Value,1.82,1.09,1.42,98.58,19.62,1.78,1,7.62,11386.59,9920000000,-12.54,-15.13,-7.43,-10.02,0.95,-0.95,4.51,3.98,8.62,7.96,29.59,25.18,-12.34,-12.86,12.55,13.22,14.55,18.06,-3.24,-5.41,9.08,9.31,35.16,35.14,17.66,16.6,-2.76,-3.96,26.02,21.92,13,5,-0.58,-0.02,2.99,0.03,7.4,0.07
MCHQX,2,2,3,Value,1.37,0.8,6.8,0.23,17.88,2.07,0.52,8.73,7117.97,16770000000,1.73,5.64,9.2,5.74,3.88,4.64,2.28,4.16,3.92,3.87,8.85,8.94,-1.77,-0.61,3.32,4.27,2.52,3.86,-0.56,-0.45,7.13,5.42,-1.07,-0.9,9.19,7.76,3.62,6.27,9.11,8.51,8,4,2.31,0.03,1.24,0.03,3.46,0.04
MCISX,5,5,4,Growth,2.11,1.3,1.06,98.94,17.3,1.89,1.12,10.02,3457.3,2180000000,-2.61,-8.13,3.72,-1.99,0.47,-2.29,5.2,3.84,7.62,4.88,26.39,22.52,-21.15,-19.13,35.57,31.58,-1.78,1.79,6.92,3.79,-1.25,-5.05,31.25,25.35,22.86,18.99,-12.61,-14.41,23.91,21.01,7,5,-0.93,-0.03,3.49,0.03,6.68,0.04
MCMAX,2,2,3,Growth,1.07,1.16,0.47,99.53,26.43,2.95,1.97,15.45,6319.55,81650000,-0.42,14.82,6.32,22.59,5.33,13.64,8.3,13.1,9.77,12.76,25.19,32.52,-10.41,-6.65,25.46,23.91,7.07,6.03,-1.22,-0.95,11.53,7,31.04,34.93,8.57,14.07,-1.64,-3.96,26.45,24.61,16,6,3.25,0.11,6.22,0.11,8.03,0.11
MCMFX,2,2,3,Growth,0.72,1.16,0.47,99.53,26.43,2.95,1.97,15.45,6319.55,81650000,-0.12,14.82,6.71,22.59,5.71,13.64,8.7,13.1,10.19,12.76,25.6,32.52,-10.09,-6.65,25.92,23.91,7.5,6.03,-0.83,-0.95,11.98,7,31.54,34.93,9.05,14.07,-1.27,-3.96,26.98,24.61,21,7,3.58,0.11,6.57,0.11,8.4,0.11
MCMYX,2,2,3,Growth,0.87,1.16,0.47,99.53,26.43,2.95,1.97,15.45,6319.55,81650000,-0.28,14.82,6.54,22.59,5.54,13.64,8.5,13.1,9.96,12.76,25.48,32.52,-10.25,-6.65,25.75,23.91,7.21,6.03,-1.06,-0.95,11.67,7,31.24,34.93,8.78,14.07,-1.53,-3.96,26.65,24.61,19,6,3.43,0.11,6.4,0.11,8.19,0.11
